Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Al Nuness <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Minnesota,1969,18,1,207
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ron Manning <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Manhattan,1972,18,1,198
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Peter Gavitt <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Maine,1973,18,2,208
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Don Mills <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Kentucky,1960,18,1,96
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Cannon <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Grambling,1970,18,3,236
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Art Kenny <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Fairfield,1968,18,3,206
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Larry Humes <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Evansville,1968,18,4,207
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ike Bundy <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Detroit Tech,1971,18,3,235
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Joey Meyer <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",DePaul,1971,18,1,233
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Zoretich <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",DePaul,1968,18,2,205
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> George Krajick <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Clemson,1960,18,2,97
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jeff Cunningham <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",California-Irvine,1970,18,1,234
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Carlos Quintanar <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Asociacion Deportiva Mexicana de Basquetbol (Mexico),1971,18,2,234
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Cliff Parsons <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Air Force,1969,18,4,210
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Nate Ware <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Tennessee State,1968,17,6,203
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tony Prince <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",St. John's (NY),1973,17,1,203
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Lynn Phillips <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Southern Methodist,1969,17,2,202
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dave Miller <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",South Dakota State,1968,17,1,198
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Thornton <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",South Carolina State,1972,17,1,197
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Steve Sims <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Pepperdine,1971,17,2,231
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Vince Fritz <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Oregon State,1970,17,4,233
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Loy Peterson <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Oregon State,1967,17,1,157
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gary Paulk <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Oklahoma State,1967,17,3,159
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Steve Howell <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Ohio State,1969,17,4,204
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Thate <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Occidental,1970,17,3,232
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Tolmie <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Navy,1969,17,5,205
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Powell <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Miami (FL),1958,17,1,87
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Nelson Isley <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Louisiana State,1971,17,1,230
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Lamont King <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Long Beach State,1973,17,4,206
"<!----><a ng-href=""/stats/player/78560/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78560/""> Milt Williams <!----> <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Lincoln (MO),1968,17,5,202
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Steve Honeycutt <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Kansas State,1969,17,3,203
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Chris Pervall <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Iowa,1966,17,1,110
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Roger Taylor <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Illinois,1965,17,1,109
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Darryll Meachem <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Edinboro,1967,17,2,158
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Leroy Jenkins <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Detroit Mercy,1971,17,3,232
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Greg Morris <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Cornell,1968,17,3,200
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Peterson <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Concordia-Saint Paul,1970,17,2,231
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Howard <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Cincinnati,1968,17,4,201
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tom Benedict <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Central Washington,1968,17,2,199
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Howie Dickerman <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Central Connecticut State,1969,17,1,201
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tandy Gillis <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",California,1960,17,2,95
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tom Haggart <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Brandeis,1969,17,6,206
"<!----><a ng-href=""/stats/player/76793/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76793/""> Jim Garvin <!----> <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Boston University,1973,17,2,204
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Phil Elderkin <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Boston University,1973,17,3,205
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dennis Dickens <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Azusa Pacific,1970,17,1,230
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ernie McCray <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Arizona,1960,17,1,94
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Eberle <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Wyoming,1968,16,6,195
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Vance Tyree <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Wisconsin-La Crosse,1971,16,1,225
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ken Barnes <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Wisconsin,1966,16,2,109
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Wayne Chapman <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Western Kentucky,1967,16,4,156
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dean Olofson <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Wayne State (MI),1970,16,1,223
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Joe Crews <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Villanova,1968,16,8,197
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jerry Schofield <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Utah State,1960,16,2,93
