PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,SEASON
Melo Trimble,PG,8.35%,8.00,8.75,6' 1.25'',6' 2.5'',7' 8.5'',191.8,6' 2'',2016-2017
Marcus Paige,PG,4.30%,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25'',2016-2017
Tyler Ulis,PG,5.20%,7.50,7.50,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2'',2016-2017
Kris Dunn,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0.0,6' 9.5'',2016-2017
Jawun Evans,PG,9.10%,8.00,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5'',2017-2018
Luke Kennard,SG-SF,6.60%,8.00,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25'',2017-2018
Frank Mason III,PG,4.30%,8.00,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25'',2017-2018
Svi Mykhailiuk,SG-SF,11.40%,8.00,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5'',2017-2018
Melo Trimble,PG,10.60%,8.00,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2'',2017-2018
Derrick Walton Jr.,PG,5.80%,8.00,8.50,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5'',2017-2018
Dillon Brooks,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6'',2017-2018
Frank Jackson,PG,6.70%,8.25,9.00,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5'',2017-2018
Peter Jok,SG-SF,11.00%,8.25,9.50,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8'',2017-2018
Monte Morris,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4'',2017-2018
Edmond Sumner,PG,8.30%,8.25,9.00,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9'',2017-2018
Derrick White,PG,6.20%,8.25,8.50,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5'',2017-2018
Kadeem Allen,PG,6.40%,8.50,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25'',2017-2018
V.J. Beachem,SG-SF,6.80%,8.50,9.00,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25'',2017-2018
Hamidou Diallo,SG-SF,5.20%,8.50,9.50,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25'',2017-2018
Tyler Dorsey,SG,4.70%,8.50,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25'',2017-2018
Damyean Dotson,SG-SF,5.30%,8.50,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9'',2017-2018
PJ Dozier,SG,6.10%,8.50,9.50,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11'',2017-2018
Terrance Ferguson,SG-SF,5.80%,8.50,10.00,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75'',2017-2018
De?Aaron Fox,PG,4.50%,8.50,8.50,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5'',2017-2018
Josh Hart,SG-SF,5.80%,8.50,9.50,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25'',2017-2018
Kyle Kuzma,SF-SG,9.40%,8.50,9.50,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25'',2017-2018
TJ Leaf,PF,6.80%,8.50,9.50,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11'',2017-2018
Donovan Mitchell,SG,5.90%,8.50,9.50,6' 1.25'',6' 3'',8' 1'',211.4,6' 10'',2017-2018
Kobi Simmons,PG,5.00%,8.50,9.50,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6'',2017-2018
Rawle Alkins,SG-SF,11.00%,8.75,10.00,6' 2.5'',6' 3.75'',8' 3'',222.6,6' 8.75'',2017-2018
Dwayne Bacon,SG-SF,7.90%,8.75,10.00,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10'',2017-2018
Jaron Blossomgame,SF,5.70%,8.75,10.25,6' 5.75'',6' 6.75'',8' 8.5'',218.6,6' 10'',2017-2018
Zach Collins,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1'',2017-2018
Nigel Hayes,PF,11.50%,8.75,10.00,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25'',2017-2018
Isaiah Hicks,PF,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5'',2017-2018
Wesley Iwundu,SG-SF,4.00%,8.75,9.50,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1'',2017-2018
Justin Jackson (UNC),SF,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11'',2017-2018
Tyler Lydon,PF,13.60%,8.75,8.75,6' 8.25'',6' 9.5'',8' 11.5'',215.0,7' 0'',2017-2018
Kennedy Meeks,C,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1'',2017-2018
Semi Ojeleye,SF-SG,5.50%,8.75,9.50,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75'',2017-2018
Justin Patton,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229.0,7' 3'',2017-2018
Alec Peters,PF,8.80%,8.75,10.00,6' 7.25'',6' 8.75'',8' 9'',232.0,6' 10.75'',2017-2018
Ivan Rabb,PF,6.80%,8.75,9.00,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5'',2017-2018
Sindarius Thornwell,SG-SF,7.80%,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10'',2017-2018
Moritz Wagner,PF,6.70%,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0'',2017-2018
Nigel Williams-Goss,PG,5.60%,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25'',2017-2018
Isaiah Briscoe,PG,11.00%,9.00,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9'',2017-2018
John Collins,PF,5.40%,9.00,10.00,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25'',2017-2018
Justin Jackson (UMD),SF,7.10%,9.00,9.50,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25'',2017-2018
Johnathan Motley,PF,-%,9.00,9.50,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4'',2017-2018
Thomas Welsh,PF-C,10.90%,9.00,10.50,6' 11.5'',7' 0.5'',9' 1.5'',254.0,7' 0'',2017-2018
Omer Yurtseven,C,7.60%,9.00,10.50,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1'',2017-2018
OG Anunoby,SF,6.80%,9.25,9.50,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25'',2017-2018
Jamel Artis,SG-SF,11.90%,9.25,9.75,6' 5.5'',6' 6.75'',8' 9'',213.2,6' 10'',2017-2018
Jordan Bell,PF,5.40%,9.25,9.50,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75'',2017-2018
Chris Boucher,PF,5.40%,9.25,10.50,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4'',2017-2018
Davon Reed,SG-SF,6.50%,9.25,9.50,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0'',2017-2018
Devin Robinson,SF,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75'',2017-2018
D.J. Wilson,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3'',2017-2018
Edrice Adebayo,PF-C,5.20%,9.50,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75'',2017-2018
Jarrett Allen,C,7.40%,9.50,10.50,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25'',2017-2018
Ike Anigbogu,C,5.40%,9.50,10.00,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25'',2017-2018
Tony Bradley,C,12.00%,9.50,9.50,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5'',2017-2018
Thomas Bryant,PF-C,9.40%,9.50,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6'',2017-2018
Harry Giles,PF,5.20%,9.50,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232.0,7' 3.25'',2017-2018
Cameron Oliver,PF,7.70%,9.50,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25'',2017-2018
Caleb Swanigan,PF,-%,9.50,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3'',2017-2018
Markelle Fultz,PG,-%,-,-,,,,-,,2017-2018
Isaac Haas,C,12.55%,10.0,10.5,7' 1.25'',7' 2.75'',9' 3.5'',303.0,7' 5'',2018-2019
Jaren Jackson,PF-C,7.20%,10.0,10.0,6' 9.75'',6' 11.25'',9' 2'',236.0,7' 5.25'',2018-2019
Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10'',2018-2019
Brandon McCoy,C,8.70%,9.75,9.5,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2'',2018-2019
Austin Wiley,C,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5'',2018-2019
Udoka Azubuike,C,7.95%,9.5,10.0,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7'',2018-2019
Bruno Fernando,C,5.25%,9.5,10.0,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25'',2018-2019
Melvin Frazier,SF-SG,7.90%,9.5,9.5,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75'',2018-2019
Kostas Antetokounmpo,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25'',2018-2019
Jevon Carter,PG,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25'',2018-2019
Kevin Hervey,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5'',2018-2019
Sagaba Konate,C,7.35%,9.25,10.0,6' 6.5'',6' 7.5'',8' 10.5'',246.0,7' 0'',2018-2019
Yante Maten,PF-C,8.10%,9.25,10.0,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5'',2018-2019
Billy Preston,PF,5.45%,9.25,9.5,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2'',2018-2019
Ray Spalding,PF,5.55%,9.25,9.0,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75'',2018-2019
Keita Bates-Diop,SG-SF,5.35%,9.0,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25'',2018-2019
Brian Bowen,SG-SF,7.60%,9.0,10.0,6' 6.25'',6' 7.5'',8' 7.5'',202.0,6' 10.25'',2018-2019
Miles Bridges,SF,5.90%,9.0,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5'',2018-2019
Troy Brown,SF,7.05%,9.0,9.75,6' 5.75'',6' 6.75'',8' 9'',208.0,6' 10.25'',2018-2019
Jacob Evans,SG-SF,6.50%,9.0,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25'',2018-2019
Shai Gilgeous-Alexander,PG,3.00%,9.0,9.0,6' 4.5'',6' 6'',8' 8'',180.0,6' 11.5'',2018-2019
Justin Jackson,PF,8.90%,9.0,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3'',2018-2019
George King,SF-SG,7.25%,9.0,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5'',2018-2019
Chimezie Metu,PF-C,5.05%,9.0,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5'',2018-2019
Josh Okogie,SG,5.20%,9.0,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0'',2018-2019
Theo Pinson,SG-SF,7.35%,9.0,9.0,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75'',2018-2019
Jerome Robinson,SG,6.05%,9.0,10.0,6' 4'',6' 5'',8' 2'',188.4,6' 7.25'',2018-2019
Omari Spellman,PF-C,13.75%,9.0,9.0,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2'',2018-2019
Moritz Wagner,C-PF,6.75%,9.0,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0'',2018-2019
Lonnie Walker,SG,5.65%,9.0,9.5,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25'',2018-2019
PJ Washington,PF,6.85%,9.0,10.25,6' 6.5'',6' 8'',8' 11'',223.0,7' 2.5'',2018-2019
Hamidou Diallo,SG,4.45%,8.75,9.0,6' 4.25'',6' 6'',8' 7'',197.0,6' 11.5'',2018-2019
Trevon Duval,PG,5.20%,8.75,10.0,6' 1.5'',6' 2.5'',8' 1.5'',191.0,6' 8.25'',2018-2019
Aaron Holiday,PG,6.40%,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187.0,6' 7.5'',2018-2019
Kevin Knox,SF,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75'',2018-2019
Shake Milton,SG-PG,6.80%,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75'',2018-2019
Jontay Porter,C-PF,13.85%,8.75,9.5,6' 10'',6' 11.5'',9' 1'',236.0,7' 0.25'',2018-2019
Michael Porter,SF-PF,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211.0,7' 0.25'',2018-2019
Anfernee Simons,SG-PG,7.70%,8.75,9.0,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25'',2018-2019
Zhaire Smith,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75'',2018-2019
Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5'',2018-2019
Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205.0,6' 10.25'',2018-2019
Rawle Alkins,SG,8.90%,8.5,10.0,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75'',2018-2019
Tyus Battle,SG,4.00%,8.5,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9'',2018-2019
Bruce Brown,SG-PG,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9'',2018-2019
Tony Carr,PG,6.50%,8.5,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25'',2018-2019
Wendell Carter,C-PF,7.85%,8.5,9.0,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5'',2018-2019
Carsen Edwards,PG,6.30%,8.5,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25'',2018-2019
Keenan Evans,PG,6.50%,8.5,8.0,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25'',2018-2019
Devonte Graham,PG,4.80%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25'',2018-2019
Devon Hall,SG,8.45%,8.5,10.0,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75'',2018-2019
Alize Johnson,PF,8.10%,8.5,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75'',2018-2019
Caleb Martin,SF-SG,7.00%,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10'',2018-2019
Cody Martin,SG-SF,5.45%,8.5,9.0,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25'',2018-2019
DeAnthony Melton,SG-PG,5.20%,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5'',2018-2019
Malik Newman,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5'',2018-2019
Gary Trent,SG,7.00%,8.5,9.5,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75'',2018-2019
Kenrich Williams,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25'',2018-2019
Grayson Allen,SG,5.55%,8.25,10.0,6' 3'',6' 4.5'',8' 1'',198.0,6' 7.25'',2018-2019
Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4'',2018-2019
Donte DiVincenzo,SG,5.00%,8.25,9.0,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6'',2018-2019
Kevin Huerter,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194.0,6' 7.5'',2018-2019
Sviatoslav Mykhailiuk,SG-SF,8.45%,8.25,9.5,6' 6.5'',6' 7.75'',8' 4'',211.6,6' 4.75'',2018-2019
Collin Sexton,PG,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183.0,6' 7.25'',2018-2019
Allonzo Trier,SG,4.95%,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198.0,6' 6.75'',2018-2019
Jaylen Barford,PG-SG,11.65%,8.0,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5'',2018-2019
Jaylen Hands,PG,5.00%,8.0,8.0,6' 1.5'',6' 2.75'',8' 2'',179.0,6' 5.5'',2018-2019
Landry Shamet,PG,4.85%,8.0,9.0,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75'',2018-2019
Trae Young,PG,5.35%,8.0,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3'',2018-2019
Jordan Bone,SG,5.00%,7.50,9.25,6' 1.5'',6' 2.75'',7' 11'',179.0,6' 3.25'',2019-2020
Shamorie Ponds,PG,9.80%,7.75,8.00,5' 11.5'',6' 0.5'',8' 0.5'',180.0,6' 3.5'',2019-2020
Coby White,PG,4.30%,7.75,9.00,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5'',2019-2020
Kyle Guy,SG,5.70%,8.00,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5'',2019-2020
Jaylen Hands,PG,5.10%,8.00,8.25,6' 1.5'',6' 3'',8' 1'',180.4,6' 5.5'',2019-2020
Tyler Herro,SG,7.10%,8.00,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25'',2019-2020
Keldon Johnson,SG,5.60%,8.00,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25'',2019-2020
Cameron Johnson,SG,5.80%,8.00,8.50,6' 7'',6' 8.5'',8' 7'',205.2,6' 10'',2019-2020
Louis King,SF,4.80%,8.00,8.50,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25'',2019-2020
Tremont Waters,PG,6.60%,8.00,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25'',2019-2020
Ky Bowman,PG,4.90%,8.25,9.00,6' 1'',6' 2.25'',8' 2'',181.2,6' 7'',2019-2020
Brandon Clarke,SF,4.90%,8.25,9.50,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25'',2019-2020
Jarrett Culver,SG,5.00%,8.25,8.50,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5'',2019-2020
Devon Dotson,PG,5.90%,8.25,9.50,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25'',2019-2020
Quentin Grimes,SG,8.40%,8.25,10.00,6' 4'',6' 5.25'',8' 4.5'',209.6,6' 7.75'',2019-2020
Jared Harper,PG,3.90%,8.25,9.50,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5'',2019-2020
Ty Jerome,PG,6.50%,8.25,9.50,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4'',2019-2020
Cody Martin,PG-SG,5.00%,8.25,9.00,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25'',2019-2020
Jaylen Nowell,SG,6.10%,8.25,8.50,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25'',2019-2020
Jordan Poole,SG,7.50%,8.25,8.50,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75'',2019-2020
Dylan Windler,SF,4.60%,8.25,9.50,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10'',2019-2020
Nickeil Alexander-Walker,SG,5.90%,8.50,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5'',2019-2020
Brian Bowen II,SF,6.50%,8.50,9.75,6' 6.25'',6' 7.5'',8' 7'',200.0,6' 10'',2019-2020
Luguentz Dort,PG,5.00%,8.50,9.00,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5'',2019-2020
Charles Matthews,SG,3.80%,8.50,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5'',2019-2020
Zach Norvell Jr.,SG,7.50%,8.50,9.50,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6'',2019-2020
Jordan Nwora,PF,7.80%,8.50,9.25,6' 5.75'',6' 7.5'',8' 7'',220.0,6' 10.5'',2019-2020
Luka Samanic,PF,5.60%,8.50,9.00,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5'',2019-2020
Quinndary Weatherspoon,SG,6.10%,8.50,9.00,6' 3'',6' 4.25'',8' 4'',206.6,6' 9'',2019-2020
Kris Wilkes,SF,4.90%,8.50,9.50,6' 6.25'',6' 7.75'',8' 7'',208.8,6' 10.75'',2019-2020
Ignas Brazdeikis,SF,6.00%,8.75,9.50,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25'',2019-2020
Carsen Edwards,PG,5.50%,8.75,9.00,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6'',2019-2020
Jalen Hoard,PF,6.70%,8.75,9.75,6' 7.25'',6' 9'',8' 9.5'',212.6,7' 0.75'',2019-2020
Jalen Lecque,PG,4.00%,8.75,8.50,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5'',2019-2020
Nassir Little,SF,5.90%,8.75,10.00,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25'',2019-2020
Jontay Porter,PF,8.50%,8.75,9.50,6' 9.75'',6' 11'',9' 1.5'',210.4,7' 0'',2019-2020
Kevin Porter Jr.,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9'',2019-2020
Admiral Schofield,SF,6.80%,8.75,9.00,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75'',2019-2020
Marial Shayok,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25'',2019-2020
Simisola Shittu,PF,6.20%,8.75,8.50,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25'',2019-2020
Darius Bazley,PF,3.60%,9.00,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0'',2019-2020
O'Shae Brissett,SF-PF,2.90%,9.00,9.50,6' 7'',6' 8'',8' 8'',203.2,7' 0'',2019-2020
Romeo Langford,SG,-%,9.00,9.00,6' 4.5'',6' 6'',8' 7'',-,6' 11'',2019-2020
Jalen McDaniels,SF,5.70%,9.00,10.00,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25'',2019-2020
Miye Oni,SG,4.90%,9.00,10.00,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75'',2019-2020
Eric Paschall,SF,6.30%,9.00,9.50,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75'',2019-2020
Reggie Perry,SF-PF,6.70%,9.00,10.00,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5'',2019-2020
Cameron Reddish,SF,4.70%,9.00,9.00,6' 6.5'',6' 8'',8' 9.5'',207.8,7' 0.5'',2019-2020
Isaiah Roby,PF,3.90%,9.00,10.50,6' 7.25'',6' 8.5'',8' 10'',214.0,7' 1'',2019-2020
P.J. Washington,PF,8.60%,9.00,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25'',2019-2020
Grant Williams,PF,5.40%,9.00,10.50,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75'',2019-2020
Charles Bassey,C,8.50%,9.25,9.50,6' 8.75'',6' 10'',9' 1.5'',239.0,7' 3.5'',2019-2020
Bol Bol,C,7.10%,9.25,9.50,7' 0.75'',7' 2.5'',9' 7.5'',208.0,7' 7'',2019-2020
Nicolas Claxton,C,4.50%,9.25,9.50,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5'',2019-2020
Terence Davis,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75'',2019-2020
Bruno Fernando,C,5.40%,9.25,10.00,6' 8.75'',6' 10.25'',9' 2'',237.0,7' 3.25'',2019-2020
Daniel Gafford,PF,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25'',2019-2020
Jaxson Hayes,PF,5.00%,9.25,10.50,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5'',2019-2020
Mfiondu Kabengele,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3'',2019-2020
KZ Okpala,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75'',2019-2020
Moses Brown,C,7.80%,9.50,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75'',2019-2020
Tyler Cook,PF,6.10%,9.50,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5'',2019-2020
Dewan Hernandez,C,6.10%,9.50,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75'',2019-2020
Talen Horton-Tucker,SG,8.40%,9.50,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25'',2019-2020
DaQuan Jeffries,SF-PF,3.90%,9.50,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25'',2019-2020
Terance Mann,SG-SF,4.00%,9.50,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75'',2019-2020
Neemias Queta,C,6.30%,9.50,11.00,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25'',2019-2020
Naz Reid,PF,14.00%,9.50,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25'',2019-2020
Dedric Lawson,PF,8.90%,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233.0,7' 2.25'',2019-2020
Tacko Fall,C,6.80%,10.50,10.50,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25'',2019-2020
RJ Barrett,SF,-%,-,-,,,,-,,2019-2020
Darius Garland,PG,-%,-,-,,,,-,,2019-2020
De'Andre Hunter,,-%,-,-,,,,-,,2019-2020
Ja Morant,PG,-%,-,-,,,,-,,2019-2020
Chuma Okeke,,-%,-,-,,,,-,,2019-2020
Killian Tillie,,-%,-,-,,,,-,,2019-2020
Zion Williamson,PF,-%,-,-,,,,-,,2019-2020
Xavier Tillman Sr.,PF-C,8.50%,10.25,11.0,6'7.50'',6'8.50'',8'10.00'',266.5,7'2.00'',2020-2021
Naji Marshall,SF,8.70%,9.25,10.5,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75'',2020-2021
Kahlil Whitney,SF,5.30%,9.25,10.25,6'5.50'',6'7.00'',8'9.50'',205.0,7'0.25'',2020-2021
Reggie Perry,PF-C,8.40%,9.25,11.0,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25'',2020-2021
Jalen Smith,PF-C,3.70%,9.25,9.25,6'9.25'',6'10.25'',9'2.00'',224.6,7'2.25'',2020-2021
