Player,Round Number,Round Pick,Overall Pick,Year
Bob Trupin,12,1,87,1965
Connie Warren,12,1,175,1973
Jim Boothe,12,1,79,1957
Harry Hall,12,4,159,1969
John Lallensack,12,3,150,1968
Ron Weisner,12,1,97,1954
Lonnie Lynn,12,2,99,1966
Jim Doherty,12,0,0,1953
John Dobbert,12,4,83,1960
Reggie Lacefield,12,8,155,1968
Ed Blair,12,3,80,1959
Reggie Roach,12,3,186,1970
Frank Dewitt,12,1,167,1972
Frank Gadjunas,12,6,129,1967
Mark Soderberg,12,6,172,1972
Walt Simon,12,2,149,1968
Dewey Varner,12,9,192,1970
Bob Washington,12,13,168,1969
Roger Wendel,12,1,78,1959
Doug Hess,12,1,183,1971
Bob Miller,12,1,156,1969
George Patterson,12,2,100,1961
Tony Eaton,12,1,124,1967
Willie Cager,12,4,151,1968
Bill Harris,12,10,157,1968
Joe Buckhalter,12,4,81,1958
Ron Widby,12,3,126,1967
Ed Montgomery,12,0,0,1950
John Dalton,12,7,189,1971
Bill O'Rourke,12,10,165,1969
Vern Baggenstoss,12,2,79,1959
Charles Duffley,12,0,0,1953
John Burke,12,1,86,1951
Mickey Harrington,12,0,0,1955
Chris Schrobilgen,12,5,187,1971
Raul Duarte,12,5,160,1969
Phil Stephens,12,7,173,1972
Warren Sutton,12,3,92,1964
Gene Mumford,12,13,195,1971
Bruce Winkler,12,8,182,1973
Joe Callahan,12,6,161,1969
Chris McMurray,12,4,178,1973
Lyman Williamson,12,5,179,1973
Dave Deutsch,12,1,98,1966
Lloyd Adams,12,4,170,1972
Frank Kamiaski,12,1,90,1964
John Smith,12,3,158,1969
Mike Riordan,12,5,128,1967
Al Cotler,12,8,174,1972
James Green,12,3,169,1972
David Fox,12,7,130,1967
Charles Warren,12,3,92,1962
Mel Nowell,12,1,90,1962
Ken Kowall,12,9,191,1971
Walt Sahm,12,2,88,1965
Rubin Russell,12,10,133,1967
Rick Holdt,12,3,177,1973
Bob Seitz,12,2,80,1957
Ted Campbell,12,11,158,1968
Hugh Evans,12,2,79,1963
Jim Weeks,12,3,81,1957
Butch Webster,12,2,184,1971
Martin Navia,12,9,132,1967
Ben Monroe,12,4,127,1967
Jim Brooks,12,1,184,1970
Grant Simmons,12,3,100,1966
Julius Myers,12,2,91,1964
Jack Gillespie,12,11,166,1969
Gregg Daust,12,5,171,1972
Ken Riley,12,11,193,1971
Booker Brown,12,8,191,1970
Ric Cobb,12,7,190,1970
Mark Davis,12,0,0,1955
Bob Connor,12,6,188,1971
Glynn Saulters,12,5,152,1968
John Caveny,12,2,91,1962
Roy Manning,12,1,148,1968
Dave Jones,12,9,164,1969
Roland Taylor,12,12,167,1969
Hubie Marshall,12,8,131,1967
Don Medsker,12,2,79,1958
Ben McGilmer,12,10,193,1970
Bob Wilkinson,12,5,84,1960
Gary Simmons,12,1,78,1958
Oliver Taylor,12,6,189,1970
Bill Stickel,12,3,99,1954
Pat Moriarty,12,7,154,1968
Mike Battle,12,7,181,1973
Len Baltimore,12,2,168,1972
John Brunson,12,4,187,1970
Bill Langheld,12,9,156,1968
Dave Miller,12,12,159,1968
Clarence Carlisle,12,6,180,1973
Carl Greenfield,12,12,194,1971
Bob Horn,12,8,190,1971
Don Sechler,12,3,185,1971
Elton McGriff,12,4,90,1965
Ron Altenberg,12,1,80,1960
Roger Moore,12,4,186,1971
Mike Davis,12,7,162,1969
George Dalzell,12,2,125,1967
Don Ogletree,12,2,185,1970
Paul Adams,12,5,188,1970
Jackie Crawford,12,3,101,1961
Jack Lutz,12,2,157,1969
Aaron Covington,12,2,176,1973
Bob Wolfe,12,6,153,1968
Earl Shultz,12,1,99,1961
Rod Forbes,12,8,163,1969
Robert McCollough,12,5,91,1965
Bob Walter,12,1,78,1963
Dan Anderson,12,3,89,1965
Henry Hart,12,3,82,1960
Bill Davis,12,13,160,1968
Will Jones,12,2,81,1960
Floyd Mason,12,10,192,1971
Jim Dew,12,3,80,1958
John Glinski,12,2,98,1954
Dennis Lynch,11,1,85,1964
Frank Pinchback,11,4,88,1962
Frank Tartaton,11,2,75,1958
Fred Glover,11,2,86,1964
Mel Peterson,11,4,78,1960
Jerome Perry,11,5,173,1971
Paul Leitz,11,11,179,1971
Thomas Lowry,11,3,87,1964
Larry Bergh,11,5,146,1969
Justus Thigpen,11,6,147,1969
Dave Schneider,11,5,175,1970
Ed Payne,11,2,167,1973
Dick Walker,11,7,177,1970
Lynn Greer,11,5,170,1973
Ed Hastings,11,9,174,1973
Leo Wolfe,11,0,0,1950
Rod Freeman,11,1,166,1973
Steve Turner,11,6,162,1972
Al Razutis,11,10,123,1967
David Whitley,11,10,180,1970
Charles Allen,11,4,160,1972
Ron Peret,11,12,153,1969
Randy Matson,11,9,122,1967
Herb Merritt,11,3,76,1958
Henry Watkins,11,10,144,1968
John Barnhill,11,6,77,1959
Orbie Bowling,11,1,76,1963
Forrest Jackson,11,4,93,1954
Mike Lee,11,3,168,1973
Dale Adams,11,7,172,1973
Rich Holmberg,11,7,148,1969
Gerald Govan,11,4,88,1964
Kevin Loughery,11,1,92,1961
Dana Pagett,11,10,178,1971
Jim Marsh,11,2,136,1968
Marvin Lewis,11,11,152,1969
Charley Brown,11,1,72,1959
Jimmy Wilkins,11,1,157,1972
Ted Hillary,11,3,173,1970
John Doogan,11,0,0,1953
Richard Kraft,11,3,94,1961
Jackie Young,11,10,166,1972
Don Klein,11,4,77,1958
James Robinson,11,5,139,1968
Dennis Moore,11,1,75,1960
George Grams,11,5,96,1966
Harry Singletary,11,8,142,1968
Ed Mazria,11,2,86,1962
Sterling Forbes,11,2,76,1960
Carver Clinton,11,6,97,1966
Dino Meneghin,11,12,182,1970
Curt Gammell,11,2,93,1966
Hal Duffy,11,1,74,1958
R.B. Lynam,11,4,95,1966
Bob Walter,11,7,96,1954
Mark Minor,11,9,165,1972
Gerald McKee,11,14,155,1969
Phil Warren,11,3,74,1959
Floyd Mathew,11,3,159,1972
Rick Anhauser,11,2,172,1970
Cliff Hafer,11,1,76,1957
