Player,Round Number,Round Pick,Overall Pick,Year
Dwight Jones,4,3,73,1983
Bob Miller,4,19,85,1978
Lloyd Batts,4,6,60,1974
Jim Wilson,4,11,62,1970
Hal Booker,4,3,46,1969
Tim Dunham,4,15,85,1983
Ken Wilburn,4,9,39,1966
Willie Jackson,4,4,74,1984
Dick Howard,4,7,29,1955
Gary Stewart,4,1,48,1972
Hank Nowak,4,4,28,1957
Herm Hedderick,4,0,0,1952
Conner Henry,4,19,89,1986
York Gross,4,13,83,1983
John Service,4,7,58,1976
John Tshogl,4,13,60,1972
Jack Haley,4,10,79,1987
Ralph Jackson,4,1,71,1984
Mark Eaton,4,3,72,1982
Mike Sanders,4,5,74,1982
Henry Bibby,4,11,58,1972
Mike Lynn,4,3,39,1968
Edgar Lacey,4,7,43,1968
Bob Thornton,4,17,87,1984
Wayne Smith,4,22,88,1978
Bob McKeen,4,2,24,1955
Bill Hagler,4,1,30,1951
Karl Tilleman,4,9,79,1984
Ozell Jones,4,20,90,1984
Calvin Roberts,4,14,83,1980
Mike Niles,4,17,83,1979
Richie Allen,4,21,87,1979
Bob Evans,4,0,0,1949
Brett Applegate,4,18,88,1984
Alan Taylor,4,3,72,1980
Jeffrey Congdon,4,2,32,1966
Rolando Frazier,4,14,83,1981
Barney Mines,4,17,87,1983
Steve Kuberski,4,9,52,1969
Joe Strawder,4,9,34,1964
Elmer Behnke,4,8,37,1951
Jim Penix,4,8,59,1970
Ron Crevier,4,5,75,1983
Jimmy O'Brien,4,2,53,1971
John Austin,4,8,38,1966
Dave Nelson,4,6,72,1978
Johnny Allen,4,6,49,1969
Carlos Briggs,4,9,79,1986
Jerry Mallett,4,7,31,1957
Arvydas Sabonis,4,7,77,1985
Darryl Bedford,4,18,87,1987
Otis Howard,4,14,80,1978
Mickey Johnson,4,2,56,1974
Erwin Johnson,4,12,63,1971
Lee DeFore,4,1,31,1966
Layton Johns,4,8,34,1963
Myron Jackson,4,15,85,1986
Tony Brown,4,13,82,1982
Steve Beck,4,7,76,1987
Jim Deines,4,4,74,1985
Pete Williams,4,19,89,1985
Ron Davis,4,10,79,1981
Warren Rustand,4,1,27,1965
Daryll Robinson,4,12,78,1979
Mark Nickens,4,18,88,1983
Norm Anchrum,4,6,75,1982
Reuben Holmes,4,15,84,1987
John Davis,4,6,57,1970
Dan Crenshaw,4,12,63,1970
Robert Scott,4,2,71,1980
Jim Cooper,4,8,74,1977
Butch Graves,3,21,68,1984
John Lee,3,4,19,1958
Luke Rackley,3,8,37,1969
Hank Stein,3,7,21,1959
Chris Engler,3,14,60,1982
Gary Cole,3,16,50,1976
J. J. Weber,3,18,64,1987
Kim Hughes,3,9,45,1974
Reggie Gaines,3,21,67,1980
Earl Williams,3,13,49,1974
Lynbert Johnson,3,10,54,1979
Bobby Wilson,3,16,52,1974
Jeff Tyson,3,5,39,1976
Clarence Martin,3,15,61,1987
Dwight Smith,3,4,23,1967
Bobby Rascoe,3,2,18,1962
Chuck Osborne,3,5,28,1961
Ralph Croswaite,3,8,22,1959
Buddy Cate,3,0,0,1950
Chuck Schramm,3,8,24,1957
Tim Kearney,3,18,65,1984
Greg Jones,3,2,49,1983
Lowes Moore,3,6,52,1980
Jerome Anderson,3,17,53,1975
Bobby Smith,3,4,18,1959
Fred Schaus,3,0,0,1949
Dallas Smith,3,1,35,1976
Foots Walker,3,2,38,1974
Stan Mayhew,3,7,51,1977
Craig Ehlo,3,1,48,1983
Steve Harriel,3,13,60,1983
Stuart House,3,7,53,1980
Steve Puidokas,3,13,57,1977
Ron Bennink,3,8,22,1955
Phil Zevenbergen,3,4,50,1987
Dan Caldwell,3,6,52,1982
Petur Gudmundsson,3,15,61,1981
James Edwards,3,2,46,1977
Lars Hansen,3,3,37,1976
Jim Johnstone,3,5,51,1982
Skip Brown,3,12,56,1977
Jerry Schellenberg,3,17,61,1977
Jamie Waller,3,2,48,1987
Keith Colbert,3,9,56,1986
Perry Young,3,14,61,1985
Dale Solomon,3,22,68,1982
Larry Cooke,3,12,46,1976
Phil Stinnie,3,19,69,1988
Rolando Lamb,3,6,53,1985
Gerald Henderson,3,20,64,1978
Rick Carlisle,3,23,70,1984
Craig Robinson,3,21,68,1983
Marc Iavaroni,3,11,55,1978
Gus Gerard,3,14,50,1975
Chip Case,3,9,43,1970
Buzz Wilkinson,3,4,18,1955
John Pinone,3,11,58,1983
Wali Jones,3,2,18,1964
Bob Schafer,3,3,17,1955
Willie Jones,3,8,54,1982
Tom Hagan,3,7,36,1969
Bill Depp,3,8,31,1961
Chuck Kriston,3,9,26,1963
Mike Santos,3,4,48,1978
Marv Roberts,3,10,45,1971
Jeff Ockel,3,2,24,1968
Mike Largey,3,12,58,1982
Carl Bailey,3,20,66,1980
Ken Mayfield,3,15,50,1971
Herb Johnson,3,8,55,1985
Ricky Ross,3,6,53,1984
Paul Thompson,3,3,50,1983
Tom Kozelko,3,13,48,1973
Larry Jones,3,4,20,1964
Bruce King,3,10,46,1974
Mike Richmond,3,20,66,1987
Juden Smith,3,2,49,1986
Gary Brewster,3,14,48,1976
Scott English,3,3,33,1972
Dick Gibbs,3,14,49,1971
Geoff Huston,3,6,50,1979
Mike Russell,3,8,52,1978
Harold Hudgens,3,4,20,1962
J. C. Maze,3,0,0,1952
Gary Turner,3,8,28,1966
Winston Crite,3,7,53,1987
Claude Riley,3,17,64,1983
David Britton,3,11,57,1980
Jim Hagan,3,2,18,1960
Anthony Mason,3,3,53,1988
Lloyd Neal,3,1,31,1972
Ed Johnson,3,12,34,1968
Porter Meriwether,3,5,21,1962
Terry Crosby,3,18,62,1979
Art Burris,3,0,0,1950
Eddie Mast,3,11,40,1969
Nelson Bobb,3,0,0,1949
Nate Johnston,3,9,59,1988
Wendell Alexis,3,12,59,1986
Erich Santifer,3,8,55,1983
Rudy Hackett,3,1,37,1975
Bill Smith,3,7,42,1971
Jon Cincebox,3,5,19,1959
Gary Clark,3,5,21,1957
Vince Cohen,3,7,23,1957
Frank Burnell,3,16,63,1983
Otis Johnson,3,4,40,1975
Surry Oliver,3,7,41,1970
Mike Bratz,3,22,66,1977
Claude Terry,3,12,42,1972
Tom Dose,3,5,21,1964
Rich Rinaldi,3,8,43,1971
Steve Gray,3,3,20,1963
Donald Dee,3,3,25,1968
Willie Glass,3,23,69,1987
Ron Rowan,3,20,67,1986
Jeff Allen,3,9,56,1984
Billy Goodwin,3,18,65,1983
Wayne McKoy,3,17,63,1981
Ken McIntyre,3,6,23,1965
Tony Jackson,3,1,24,1961
Henry Daubenschmidt,3,5,23,1954
Fred Diute,3,8,27,1951
Jorge Gonzalez,3,4,54,1988
Tony Murphy,3,16,62,1980
Steve Neff,3,12,56,1978
Derrick Hamilton,3,2,52,1988
Curtis Green,3,17,64,1984
Ira Terrell,3,11,45,1976
Ken Perry,3,18,65,1985
Wayne Abrams,3,9,55,1980
Purvis Miller,3,14,60,1981
Ron Riley,3,8,38,1972
Dennis Layton,3,13,48,1971
John Block,3,7,27,1966
Chris Appel,3,6,22,1962
Stan Christie,3,0,0,1950
Jim Spivey,3,3,19,1957
Charles Bradley,3,4,51,1985
Willie Redden,3,18,64,1982
Zam Fredrick,3,5,51,1981
Cedrick Hordges,3,5,49,1979
Jack Thompson,3,11,33,1968
Gary Gregor,3,5,24,1967
John Ramsey,3,10,46,1975
Malikin Strong,3,1,20,1967
Harold Keeling,3,16,63,1985
Kurt Rambis,3,12,58,1980
Dennis Awtrey,3,12,46,1970
Marlon Redmond,3,16,60,1977
Kevin Restani,3,3,39,1974
Fred LaCour,3,6,22,1960
Leonard Allen,3,3,50,1985
Joel Kramer,3,19,63,1978
Steve Copp,3,8,42,1976
Yommy Sangodeyi,3,16,63,1984
James Lister,3,6,41,1973
Mickey Fox,3,12,56,1979
David Burns,3,3,49,1981
Robert Nordmann,3,2,25,1961
Dick Boushka,3,6,20,1955
Kevin Springman,3,19,66,1984
Steve Courtin,3,8,24,1964
Jack Egan,3,6,29,1961
Bob McNeill,3,3,19,1960
Kevin Porter,3,9,39,1972
Norm Van Lier,3,5,34,1969
Eric Riggins,3,16,62,1987
Hollis Copeland,3,2,46,1978
Mike Dabney,3,2,36,1976
Phil Sellers,3,4,38,1976
Bill Breeding,3,16,63,1986
Don Lance,3,9,27,1954
Stephen Chubin,3,3,23,1966
Frank Kendrick,3,11,47,1974
Howie Williams,3,0,0,1950
Billy Donovan,3,22,68,1987
Joey Hassett,3,8,52,1977
John Thompson,3,9,25,1964
Jim Hadnot,3,9,25,1962
Barnes Hauptfuhrer,3,10,44,1976
Ted Manakas,3,1,36,1973
Carlton Neverson,3,10,56,1981
Sam Clancy,3,16,62,1981
Brian Generalovich,3,1,17,1964
Eric White,3,19,65,1987
Dwayne Polee,3,7,54,1986
Orlando Phillips,3,22,69,1983
Roylin Bond,3,16,62,1982
Ricardo Brown,3,15,59,1979
John Furlong,3,7,26,1951
Bob Morse,3,2,32,1972
Dave Wohl,3,11,46,1971
Frank Brickowski,3,11,57,1981
Bob Weiss,3,5,22,1965
Ron Cornelius,3,19,65,1981
Mark Radford,3,7,53,1981
Bob Payne,3,10,29,1951
Sven Myer,3,5,51,1987
John Greig,3,19,65,1982
Nick Jones,3,12,31,1967
Calvin Garrett,3,3,47,1979
Arnold Dugger,3,20,64,1977
Greg McDougald,3,18,54,1974
Kenny Gattison,3,8,55,1986
Ron Valentine,3,5,51,1980
Ozzie Edwards,3,5,40,1973
Gary Gray,3,7,26,1967
Jim Ware,3,6,26,1966
Ricky Grace,3,17,67,1988
Tim McCalister,3,1,47,1987
Anthony Bowie,3,19,66,1986
David Little,3,14,61,1983
Al Beal,3,17,63,1980
Clifford Ray,3,5,40,1971
Garfield Heard,3,6,40,1970
Donald Sidle,3,7,29,1968
John Clemens,3,2,19,1965
Jim Smith,3,8,54,1981
Joe Roberts,3,5,21,1960
Frank Howard,3,5,20,1958
Bob Donham,3,0,0,1950
Greg McDivitt,3,10,44,1970
Donald Royal,3,6,52,1987
Bill Laimbeer,3,21,65,1979
Dave Batton,3,18,62,1978
Bill Paterno,3,1,45,1977
Ron Reed,3,3,20,1965
Mike Graney,3,8,24,1960
John Smyth,3,4,20,1957
Paul Gordon,3,0,0,1949
Andre Goode,3,13,60,1985
Jake Fendley,3,4,23,1951
Tim Dillon,3,2,49,1984
Jim Bradley,3,12,48,1974
Perry Moss,3,23,69,1982
Lee Winfield,3,3,32,1969
Mike Harper,3,10,56,1980
Derek Whittenburg,3,4,51,1983
Chuck Nevitt,3,17,63,1982
Vann Williford,3,14,48,1970
Dick Dickey,3,0,0,1950
Joe Binion,3,10,57,1984
Jimmy Black,3,13,59,1982
John Virgil,3,3,49,1980
Rich Yonakor,3,15,61,1980
John Kuester,3,9,53,1977
Darrell Elston,3,7,43,1974
Bill Chamberlain,3,13,43,1972
Lee Johnson,3,22,72,1988
David Pope,3,15,62,1984
Charles Bonaparte,3,6,35,1969
Alexander Ellis,3,1,16,1958
Ed Fleming,3,2,16,1955
Roland Grant,3,15,51,1974
Michael Cooper,3,16,60,1978
Ron Nelson,3,4,26,1968
Gerald Paddio,3,24,74,1988
Larry Anderson,3,9,56,1983
Sammy Smith,3,4,48,1977
Robert Smith,3,21,65,1977
Sam Singleton,3,11,30,1967
Tom Kropp,3,12,48,1975
Dave Hoppen,3,18,65,1986
Jerry Fort,3,17,51,1976
Chuck Jura,3,15,45,1972
Stu Lantz,3,1,23,1968
Stew Johnson,3,1,21,1966
Fred Carter,3,14,43,1969
Lamar Green,3,4,33,1969
Curtis Perry,3,1,35,1970
Don Anielak,3,8,26,1954
Curtis Berry,3,12,58,1981
John Shasky,3,14,61,1986
Jim Petersen,3,4,51,1984
John Fox,3,10,56,1987
Darryl Johnson,3,12,58,1987
Bob Anderegg,3,6,20,1959
Al Ferrari,3,1,15,1955
John Johnson,3,23,69,1981
Dave Baxter,3,17,61,1978
Steve Grote,3,11,55,1977
Wayne Grabiec,3,14,44,1972
Ollie Darden,3,2,22,1966
Randy Ayers,3,9,53,1978
Fred Foster,3,6,28,1968
Mike McCoy,3,4,21,1963
Wayne Embry,3,7,22,1958
Dana Skinner,3,6,50,1978
Sam Mitchell,3,7,54,1985
Dwight Boyd,3,16,66,1988
Baskerville Holmes,3,21,68,1986
Andre Turner,3,22,69,1986
Bobby Parks,3,11,58,1984
Bill Cook,3,15,49,1976
Larry Kenon,3,15,50,1973
Jim Hickaday,3,3,17,1959
Jerome Batiste,3,3,49,1987
Talvin Skinner,3,8,44,1974
Derrick Lewis,3,12,62,1988
Charlie Pittman,3,15,61,1982
Ernest Graham,3,22,68,1981
Larry Gibson,3,8,52,1979
Tom Roy,3,6,42,1975
Jim O'Brien,3,2,37,1973
Jerry Greenspan,3,7,24,1963
John Nacincik,3,6,21,1958
Walt Walowac,3,2,20,1954
Mike Wilson,3,1,47,1982
Lloyd Walton,3,6,40,1976
Allie McGuire,3,14,49,1973
Gary Brell,3,16,51,1971
Steve Grant,3,10,54,1978
George Bucci,3,16,52,1975
Bob Mealy,3,7,23,1960
Jerry Paulson,3,1,17,1957
Angelo Lombardo,3,6,22,1957
Jeff Cross,3,14,61,1984
Corey Gaines,3,15,65,1988
Forrest McKenzie,3,1,48,1986
Andre Battle,3,23,70,1985
Herbert Crook,3,11,61,1988
Jerry Eaves,3,9,55,1982
Ricky Gallon,3,7,51,1978
Phil Bond,3,18,62,1977
Mike Grosso,3,13,42,1969
Bo Lamar,3,9,44,1973
Marv Winkler,3,16,50,1970
Herman Montenegro,3,7,57,1988
Don Redden,3,17,64,1986
Leonard Mitchell,3,13,60,1984
Rudy Macklin,3,6,52,1981
Al Green,3,20,64,1979
Ken Higgs,3,13,57,1978
Luther Green,3,12,41,1969
Craig Hodges,3,2,48,1982
Craig Dykema,3,20,66,1981
Lloyd McMillian,3,10,54,1977
Roscoe Pondexter,3,17,53,1974
Leonard Gray,3,10,45,1973
Eric McWilliams,3,7,37,1972
Werner Killen,3,1,19,1954
Jerry Everett,3,9,56,1985
Steve Black,3,20,67,1985
Tom Piotrowski,3,15,62,1983
Norm Grekin,3,0,0,1953
Sam Smith,3,9,28,1967
Billyray Bates,3,3,47,1978
Robert Lock,3,1,51,1988
Ed Davender,3,10,60,1988
Winston Bennett,3,14,64,1988
Derrick Hord,3,20,67,1983
Mike Phillips,3,1,45,1978
Bob Guyette,3,13,49,1975
Larry Steele,3,2,37,1971
Tom Kron,3,4,24,1966
Cliff Hagan,3,0,0,1953
Les Craft,3,19,66,1983
Tyrone Adams,3,7,53,1982
Steve Mitchell,3,8,43,1973
Roy DeWitz,3,3,18,1958
Clarence Brannum,3,0,0,1950
Archie Marshall,3,25,75,1988
Art Housey,3,1,47,1981
Dave Robisch,3,9,44,1971
Bill Bridges,3,9,32,1961
B. H. Born,3,4,22,1954
Drazen Petrovic,3,13,60,1986
Bob Roper,3,0,0,1950
Dan Ruland,3,23,70,1983
Danny Pearson,3,13,59,1987
Mike Hackett,3,21,67,1982
Sylvester Norris,3,19,63,1979
Lou Herndon,3,11,45,1970
Tom Schafer,3,8,54,1987
Andrew Parker,3,2,46,1979
Robert Wilson,3,5,41,1974
Martinez Denmon,3,17,52,1973
Bill Cain,3,8,42,1970
Kevin Gamble,3,17,63,1987
Michael Payne,3,10,57,1985
Bob Hansen,3,7,54,1983
Sam Williams,3,13,35,1968
Don Nelson,3,1,17,1962
Tom Abernethy,3,9,43,1976
Jon McGlocklin,3,7,24,1965
Tom Bolyard,3,2,19,1963
Jimmy Rayl,3,5,22,1963
Lou Watson,3,0,0,1950
Ron Jones,3,22,68,1980
Robert Hawkins,3,15,51,1975
Bruce Douglas,3,10,57,1986
Anthony Welch,3,15,62,1986
Craig Tucker,3,11,57,1982
Derek Holcomb,3,4,50,1981
Mark Smith,3,21,67,1981
Donnie Freeman,3,9,29,1966
Bill Burwell,3,6,23,1963
Thomas Eddleman,3,0,0,1949
Jeff Cook,3,5,49,1978
Dave Wagnon,3,5,25,1966
Donald Newman,3,23,69,1980
Rudy Jackson,3,14,50,1974
Anicet Lavodrama,3,5,52,1985
E.C. Coleman,3,16,51,1973
Steve Newsome,3,12,47,1973
Lyle Harger,3,8,25,1963
Ron Perry,3,8,54,1980
Joe Mullaney,3,0,0,1949
John Irving,3,14,58,1977
Richard Moore,3,10,29,1967
Charles Floyd,3,22,66,1979
Jimmie Baker,3,3,39,1975
Harvey Catchings,3,6,42,1974
Bob St. Pierre,3,3,37,1970
Rodney Johns,3,5,55,1988
Bayard Forrest,3,18,54,1975
Charlie Hardnett,3,3,19,1962
Frank Burgess,3,4,27,1961
Craig Neal,3,21,71,1988
Rich Yunkus,3,3,38,1971
Jim Caldwell,3,8,25,1965
James Banks,3,1,48,1984
Lavon Mercer,3,14,60,1980
Walter Daniels,3,16,60,1979
Bob Schloss,3,9,28,1951
Mike Brown,3,22,69,1985
Ricky Wilson,3,5,52,1986
George Adams,3,16,46,1972
George Singleton,3,22,69,1984
Jonathan Moore,3,18,64,1980
Neil Gordon,3,0,0,1953
Gary Alcorn,3,2,16,1959
Don March,3,13,57,1979
Ken Charles,3,3,38,1973
Jim Cunningham,3,8,23,1958
Mickey Dillard,3,9,55,1981
Willie Williams,3,4,38,1970
Dave Fedor,3,7,23,1962
Jerry Johnson,3,20,70,1988
Eugene McDowell,3,21,68,1985
Vernon Delancy,3,20,67,1984
Richie Johnson,3,17,64,1985
Don Buse,3,4,34,1972
Jerry Sloan,3,3,19,1964
Mike Gale,3,12,47,1971
Greg Hyder,3,5,39,1970
George Gervin,3,4,40,1974
Earle Higgins,3,2,36,1970
Tom Baker,3,18,64,1981
Garfield Smith,3,10,32,1968
Ed Bodkin,3,10,30,1966
Chuck Mrazovich,3,0,0,1950
Winfred King,3,5,52,1983
Skeeter Swift,3,2,31,1969
Tom Chilton,3,7,30,1961
Jim Tucker,3,6,24,1954
Tommy Amaker,3,9,55,1987
Dave Henderson,3,11,58,1986
Bob Verga,3,6,25,1967
Doug Kistler,3,3,26,1961
Michael Anderson,3,23,73,1988
Wayne Kreklow,3,9,53,1979
Jeff Halliburton,3,4,39,1971
Al Williams,3,17,51,1970
Mccoy McLemore,3,7,23,1964
Joe Kopicki,3,10,56,1982
Terry Duerod,3,4,48,1979
Earl Cureton,3,14,58,1979
Frank Russell,3,5,35,1972
Bill Ebben,3,2,18,1957
Guy Sparrow,3,5,19,1955
Kenny Patterson,3,1,48,1985
Ron Norwood,3,13,47,1976
Bato Govedarica,3,5,24,1951
Sedric Toney,3,12,59,1985
Roosevelt Chapman,3,7,54,1984
Don May,3,8,30,1968
Frank Case,3,4,20,1960
Arlen Bockhorn,3,2,17,1958
Jack Sallee,3,7,21,1955
John Gerdy,3,7,51,1979
Sterling Edmunds,3,22,66,1978
Ed Leede,3,0,0,1949
Vernon Moore,3,11,58,1985
Rick Apke,3,14,58,1978
Lee Morton,3,7,25,1954
Bruce Kuczenski,3,12,59,1983
Corny Thompson,3,4,50,1982
Tony Hanson,3,6,50,1977
Toby Kimball,3,9,26,1965
Sean Couch,3,14,60,1987
Dave Newmark,3,9,31,1968
Floyd Kerr,3,1,30,1969
Lloyd Kerr,3,10,39,1969
Jim Creighton,3,10,40,1972
Pat Frink,3,5,27,1968
Mike Ferrara,3,2,48,1981
Ernie Vandeweghe,3,0,0,1949
Ted Hathaway,3,9,45,1975
Murray Jarman,3,12,59,1984
John Campbell,3,13,59,1980
Eddie Lee,3,2,48,1980
Pat Cummings,3,15,59,1978
Gary Yoder,3,3,47,1977
Ralph Davis,3,1,17,1960
Mike Mendenhall,3,1,15,1959
Joe Luchi,3,6,25,1951
Glenn Kammeyer,3,3,22,1951
Jim McElroy,3,2,38,1975
Bill O'Connor,3,1,18,1963
Brad Wright,3,2,49,1985
Nigel Miguel,3,15,62,1985
Michael Holton,3,6,53,1983
Darren Daye,3,10,57,1983
James Wilkes,3,4,50,1980
Pete Trgovich,3,8,44,1975
Keith Erickson,3,1,18,1965
John Green,3,8,24,1962
Alan Sawyer,3,0,0,1950
Tod Murphy,3,6,53,1986
Ben McDonald,3,3,50,1984
Doug TRUE,3,19,65,1980
Ansley Truitt,3,11,41,1972
Jackie Ridgle,3,6,41,1971
Kevin Henderson,3,3,50,1986
Steve Trumbo,3,3,49,1982
Ernesto Malcolm,3,17,61,1979
Mike Williams,3,4,51,1986
Jim Les,3,23,70,1986
Bill Mann,3,1,20,1951
Stan Weber,3,0,0,1950
Mac Otten,3,0,0,1949
Tom Channel,3,11,55,1979
Jim Hayes,3,13,47,1970
Michael Adams,3,19,66,1985
Joe Reaves,3,7,42,1973
Brian Hammel,3,7,43,1975
Ben Peters,3,3,21,1954
Ron Bontemps,3,2,21,1951
Charlie Tharpe,3,6,36,1972
Darryl Middleton,3,18,68,1988
Darrell Hardy,3,2,21,1967
Song Tao,3,21,67,1987
Barry Sumpter,3,6,56,1988
Arvid Kramer,3,1,45,1979
Jeff Moore,3,8,58,1988
Mike Jones,3,13,63,1988
Eddie Johnson,3,5,49,1977
Jim Retseck,3,11,46,1973
Joe Newton,3,4,21,1965
Gerald Lockett,3,1,36,1971
Dan Henderson,3,15,59,1977
John Dickson,3,3,22,1967
Marvin Dalph,3,21,65,1978
Martin Terry,3,4,39,1973
Kurt Nimphius,3,1,47,1980
Rudy White,3,11,47,1975
Seaburn Hill,3,15,49,1970
Arthur Becker,3,6,22,1964
Connie Norman,3,1,37,1974
Russell Bowers,3,13,59,1981
Art Beatty,3,14,36,1968
John McGill,3,7,41,1976
Julius Keye,3,9,38,1969
Hansi Gnad,3,11,57,1987
Lewis Jackson,3,8,55,1984
Gregg Northington,3,17,47,1972
Terry Williams,3,5,52,1984
Phillip Lockett,3,20,66,1982
Ricky Brown,3,19,63,1977
Charles Cleveland,3,5,41,1975
George Linn,3,0,0,1956
Bill Turner,3,8,27,1967
Ha Ha,2,17,46,2004
Miye Oni,2,28,58,2019
Zhou Qi,2,13,43,2016
Bruce Seals,2,3,21,1975
Edmond Sumner,2,22,52,2017
Semaj Christon,2,25,55,2014
Derrick Brown,2,10,40,2009
Lionel Chalmers,2,4,33,2004
Romain Sato,2,23,52,2004
Torraye Braggs,2,28,57,1998
Derek Strong,2,20,47,1990
Victor Fleming,2,2,26,1984
Bob Quick,2,4,18,1968
Justin James,2,10,40,2019
Fennis Dembo,2,5,30,1988
Leon Clark,2,8,18,1966
Flynn Robinson,2,7,15,1965
John Pilch,2,0,0,1950
Alec Brown,2,20,50,2014
Jeff Nordgaard,2,24,53,1996
Tony Bennett,2,8,35,1992
Mike Ratliff,2,15,28,1972
Jon Leuer,2,10,40,2011
Rashard Griffith,2,9,38,1995
Cory Blackwell,2,4,28,1984
Claude Gregory,2,18,41,1981
Marcus Thornton,2,15,45,2015
Jeff Cohen,2,14,23,1961
Cleanthony Early,2,4,34,2014
Aubrey Sherrod,2,10,34,1985
Gene Wiley,2,8,15,1962
Charles Bassey,2,23,53,2021
Jeremy Evans,2,25,55,2010
Chris Robinson,2,22,51,1996
Darnell Mee,2,7,34,1993
Kannard Johnson,2,18,41,1987
Jim McDaniels,2,6,23,1971
Jim Rose,2,11,28,1971
Johnny Oldham,2,0,0,1949
Frankie King,2,8,37,1995
Mel Gibson,2,8,16,1963
Amir Johnson,2,26,56,2005
Shawn Harvey,2,5,34,1996
Ron Moore,2,2,25,1987
Miles McBride,2,6,36,2021
Jevon Carter,2,2,32,2018
Da'Sean Butler,2,12,42,2010
Devin Ebanks,2,13,43,2010
Gordon Malone,2,15,43,1997
Lamar Sharrar,2,5,12,1958
Maurice Cheeks,2,14,36,1978
Simmie Hill,2,1,16,1969
Moochie Norris,2,4,33,1996
Joel Bolomboy,2,22,52,2016
Bruce Collins,2,10,33,1980
Bob Davis,2,1,14,1972
Willard Sojourner,2,3,20,1971
CJ Elleby,2,16,46,2020
Kyle Weaver,2,8,38,2008
Mark Hendrickson,2,2,31,1996
Brian Quinnett,2,23,50,1989
Guy Williams,2,10,34,1983
Ed Gayda,2,0,0,1950
Jaylen Nowell,2,13,43,2019
Isaiah Thomas,2,30,60,2011
Jon Brockman,2,8,38,2009
Bobby Jones,2,7,37,2006
Todd MacCulloch,2,18,47,1999
Mark Sanford,2,2,30,1997
Richard Manning,2,13,40,1993
Louie Nelson,2,1,19,1973
Steve Hawes,2,11,24,1972
Robert Whaley,2,21,51,2005
Darius Songaila,2,21,49,2002
Chris King,2,18,45,1992
Danny Young,2,15,39,1984
Anthony Teachey,2,16,40,1984
Guy Morgan,2,17,40,1982
Ron Watts,2,9,17,1965
Dave Budd,2,2,10,1960
Dick Hemric,2,4,10,1955
Terence Bailey,2,19,42,1987
Sani Becirovic,2,17,46,2003
David Andersen,2,8,36,2002
Augusto Binelli,2,16,40,1986
A.J. English,2,10,37,1990
Erick Green,2,16,46,2013
Deron Washington,2,29,59,2008
Eddie Lucas,2,29,58,1999
Bimbo Coles,2,13,40,1990
Wayne Robinson,2,8,31,1980
Allan Bristow,2,3,21,1973
Chris Smith,2,5,14,1961
Ron Carter,2,4,26,1978
Sherron Mills,2,2,29,1993
Calvin Duncan,2,6,30,1985
Jesse Dark,2,14,32,1974
Marial Shayok,2,24,54,2019
Kyle Guy,2,25,55,2019
Devon Hall,2,23,53,2018
Malcolm Brogdon,2,6,36,2016
Joe Harris,2,3,33,2014
Mike Scott,2,13,43,2012
Sean Singletary,2,12,42,2008
Roger Mason Jr.,2,2,30,2002
Junior Burrough,2,4,33,1995
Andrew Kennedy,2,20,43,1987
Othell Wilson,2,11,35,1984
Manu Ginobili,2,28,57,1999
Jeremiah Robinson-Earl,2,2,32,2021
Eric Paschall,2,11,41,2019
Jalen Brunson,2,3,33,2018
Darrun Hilliard,2,8,38,2015
Dante Cunningham,2,3,33,2009
John Celestand,2,1,30,1999
Jason Lawson,2,13,41,1997
Alvin Williams,2,19,47,1997
Doug West,2,11,38,1989
Dwayne McClain,2,3,27,1985
Keith Herron,2,2,24,1978
Tom Ingelsby,2,9,27,1973
Chris Ford,2,4,17,1972
Howard Porter,2,15,32,1971
Bill Melchionni,2,9,19,1966
Hubie White,2,7,14,1962
Larry Hennessy,2,0,0,1953
Greg Wiltjer,2,19,43,1984
Saben Lee,2,8,38,2020
Jeffery Taylor,2,1,31,2012
Shan Foster,2,21,51,2008
Derrick Byars,2,12,42,2007
Matt Freije,2,24,53,2004
Dan Langhi,2,2,31,2000
Frank Kornet,2,3,30,1989
Charlie Davis,2,12,35,1981
Butch Feher,2,16,33,1976
Jan Van Breda Kolff,2,2,20,1974
Alec Peters,2,24,54,2017
Bojan Dubljevic,2,29,59,2013
Neemias Queta,2,9,39,2021
Sam Merrill,2,30,60,2020
Brian Jackson,2,3,26,1981
Hanno Mottola,2,11,40,2000
Josh Grant,2,16,43,1993
Byron Wilson,2,27,54,1993
Pace Mannion,2,19,43,1983
Buster Matheney,2,6,28,1978
Jeff Judkins,2,8,30,1978
Luther Burden,2,8,26,1975
Mike Newlin,2,7,24,1971
Toni Kukoc,2,2,29,1990
Ejike Ugboaja,2,25,55,2006
Ersan Ilyasova,2,6,36,2005
Zaza Pachulia,2,13,42,2003
Latavious Williams,2,18,48,2010
Jerome Jordan,2,14,44,2010
Michael Ruffin,2,3,32,1999
Gary Collier,2,15,42,1994
Steve Bracey,2,8,21,1972
Jim King,2,5,13,1963
Melvin Frazier Jr.,2,5,35,2018
Jerald Honeycutt,2,10,38,1997
Anthony Reed,2,14,41,1993
Hot Rod Williams,2,21,45,1985
Phil Hicks,2,10,27,1976
Mel Payton,2,9,18,1951
Jim Riffey,2,0,0,1950
Brad Newley,2,24,54,2007
Casey Shaw,2,8,37,1998
Harvey Knuckles,2,16,39,1981
Dick Miller,2,17,40,1980
Jeremy Tyler,2,9,39,2011
Ken Green,2,11,34,1981
