Player,Team,Season,Award
Jay Williams,Chicago Bulls,2002-03,Second
Shane Battier,Memphis Grizzlies,2001-02,First
Pau Gasol,Memphis Grizzlies,2001-02,First
Andrei Kirilenko,Utah Jazz,2001-02,First
Tony Parker,San Antonio Spurs,2001-02,First
Jason Richardson,Golden State Warriors,2001-02,First
Eddie Griffin,Houston Rockets,2001-02,Second
Richard Jefferson,New Jersey Nets,2001-02,Second
Zeljko Rebraca,Detroit Pistons,2001-02,Second
Jamaal Tinsley,Indiana Pacers,2001-02,Second
Joe Johnson (tie),Phoenix Suns,2001-02,Second
Vladimir Radmanovic (tie),Seattle SuperSonics,2001-02,Second
Marc Jackson,Golden State Warriors,2000-01,First
Kenyon Martin,New Jersey Nets,2000-01,First
Darius Miles,L.A. Clippers,2000-01,First
Mike Miller,Orlando Magic,2000-01,First
Morris Peterson,Toronto Raptors,2000-01,First
Courtney Alexander,Washington Wizards,2000-01,Second
Marcus Fizer,Chicago Bulls,2000-01,Second
Desmond Mason,Seattle SuperSonics,2000-01,Second
Chris Mihm,Cleveland Cavaliers,2000-01,Second
Hedo Turkoglu,Sacramento Kings,2000-01,Second
