PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Austin Reaves,SG,11.00%,8.00,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25''
Jaden Springer,SG,6.30%,8.50,9.75,6'3.0'',6'4.25'',8'3.0'',202.0,6'7.75''
Cam Thomas,SG,-%,-,-,,,,-,
Duane Washington Jr.,SG,5.10%,8.25,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75''
Marcus Bagley,SF,7.50%,8.75,8.50,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0''
Scottie Barnes,SF,5.30%,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75''
Brandon Boston Jr.,SF,6.00%,9.00,9.75,6'5.75'',6'7.0'',8'8.0'',188.0,6'10.75''
Julian Champagnie,SF,8.00%,9.00,8.50,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0''
Sam Hauser,SF,7.90%,8.25,9.00,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25''
Aaron Henry,SF,5.60%,8.50,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75''
Herbert Jones,SF,5.80%,8.50,9.00,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25''
Corey Kispert,SF,6.80%,8.75,10.00,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0''
Jonathan Kuminga,SF,-%,-,-,,,,-,
Scottie Lewis,SF,4.70%,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0''
Isaiah Livers,SF,9.40%,9.00,9.50,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25''
Trey Murphy III,SF,8.10%,8.50,9.00,6'7.5'',6'9.25'',8'9.5'',206.0,7'0.0''
Terrence Shannon Jr.,SF,6.70%,8.00,8.00,6'5.5'',6'6.5'',8'4.0'',206.6,6'8.25''
Joe Wieskamp,SF,4.10%,8.50,9.25,6'5.75'',6'7.25'',8'7.0'',204.8,6'11.0''
Ziaire Williams,SF,4.40%,9.00,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25''
Max Abmas,PG,5.50%,8.00,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75''
Jared Butler,PG,5.10%,8.50,8.25,6'2.25'',6'3.75'',8'2.5'',193.0,6'4.0''
Sharife Cooper,PG,-%,-,-,,,,-,
Cade Cunningham,PG,-%,-,-,,,,-,
Carlik Jones,PG,4.50%,8.25,9.00,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0''
Tre Mann,PG,4.10%,8.00,9.00,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0''
Miles McBride,PG,6.00%,9.00,9.50,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75''
Davion Mitchell,PG,6.20%,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25''
Daishen Nix,PG,11.80%,8.50,9.00,6'3.0'',6'4.25'',8'4.0'',225.6,6'6.75''
Jason Preston,PG,5.45%,8.50,9.25,6'3.0'',6'4.0'',8'4.5'',180.6,6'8.5''
DJ Steward,PG,5.00%,8.50,9.00,6'0.75'',6'1.75'',8'2.5'',162.2,6'7.0''
McKinley Wright IV,PG,6.70%,8.50,9.00,5'11.25'',6'0.25'',7'10.0'',192.2,6'5.25''
Marcus Zegarowski,PG,7.20%,8.00,9.50,6'0.75'',6'2.0'',8'0.0'',180.8,6'2.75''
Greg Brown III,PF,5.50%,9.00,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25''
Justin Champagnie,PF,6.30%,8.75,8.50,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5''
Kessler Edwards,PF,4.30%,8.50,8.25,6'7.0'',6'8.0'',8'10.0'',203.0,6'11.25''
RaiQuan Gray,PF,17.30%,9.25,9.00,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75''
Matt Hurt,PF,15.20%,9.00,9.00,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5''
Jalen Johnson,PF,4.50%,9.75,10.50,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25''
Kai Jones,PF,4.70%,9.00,9.50,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75''
Matthew Mayer,PF,-%,-,-,,,,-,
Evan Mobley,PF,-%,-,-,,,,-,
Isaiah Mobley,PF,12.90%,9.00,10.00,6'8.0'',6'9.75'',8'11.5'',238.0,7'3.0''
Yves Pons,PF,4.00%,9.00,9.25,6'5.5'',6'6.75'',8'8.0'',206.4,7'0.75''
Roko Prkacin,PF,7.00%,8.75,9.25,6'7.5'',6'9.25'',8'11.0'',225.4,6'11.0''
Jeremiah Robinson-Earl,PF,8.90%,9.00,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75''
JT Thor,PF,6.10%,9.25,9.50,6'8.5'',6'9.25'',9'2.0'',203.0,7'3.25''
Isaiah Todd,PF,6.20%,9.00,9.75,6'8.75'',6'10.0'',8'11.5'',219.0,7'1.25''
Trendon Watford,PF,10.10%,9.50,9.50,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25''
Moses Wright,PF,5.60%,9.00,9.50,6'7.75'',6'9.0'',8'11.0'',225.8,7'0.75''
Charles Bassey,C,5.90%,9.00,9.50,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0''
Luka Garza,C,11.70%,9.00,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5''
Ariel Hukporti,C,8.10%,9.50,9.50,6'10.75'',7'0.0'',9'3.5'',246.0,7'2.5''
Isaiah Jackson,C,-%,-,-,,,,-,
Makur Maker,C,14.50%,8.75,9.50,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75''
Sandro Mamukelashvili,C,7.80%,9.00,9.50,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25''
Neemias Queta,C,7.60%,9.25,10.50,6'11.25'',7'0.5'',9'4.5'',248.4,7'4.0''
Day'Ron Sharpe,C,-%,-,-,,,,-,
Jericho Sims,C,5.50%,9.00,9.75,6'9.0'',6'10.0'',8'10.0'',250.2,7'3.25''
